zona_id,zona,provincia,alum_bec_mat_escolar,alum_bec_comedor,alum_mat_escolar_total,alum_comedor_total,perc_material_m15,perc_comedor_m16,perc_bec_mat_escolar_pub,perc_bec_mat_escolar_priv,dif_perc_bec_mat_escolar_dif,perc_bec_comedor_pub,perc_bec_comedor_priv,dif_perc_bec_comedor,total_alumnado,perc_alum_ext_pub,perc_alum_ext_priv,perc_alum_ext_todos,indice_desigualdad,alum_ext_total,alum_ext_pub,alum_ext_kristau_eskola,alum_ext_partaide,alum_ext_otros_priv,perc_reparto_alum_ext_pub,perc_reparto_alum_ext_priv,municipios_barrios
352,Basauri,bizkaia,3027,1618,6079,5525,50,29,51,45,6,33,16,17,3911,5.1,1.8,4.4,2.9,171,155,13,,3,90.6,9.4,"Basaur, Etxebarri"
361,Encartaciones,bizkaia,2271,1248,4723,4420,48,28,52,43,9,37,15,22,3064,8.7,3.2,6.5,2.7,198,157,6,19,16,79.3,20.7,"Alonsotegi, Artzentales, Balmaseda, Gordexola, Güeñes, Karrantza, Sopuerta, Trucios, Zalla"
371,Trapaga,bizkaia,1447,723,2607,2670,56,27,70,46,24,45,16,29,1880,4.4,0.7,2.2,6.1,41,33,6,1,1,80.5,19.5,"Ortuella, Valle de Trapaga,"
372,Abanto,bizkaia,1758,717,4233,2752,42,26,50,34,16,30,18,12,2019,2.2,3.5,2.6,0.6,53,30,,,23,56.6,43.4,"Abanto y Ciérvena, Muskiz"
381,Txorierri,bizkaia,1722,938,11562,10243,15,9,40,9,31,26,5,21,7831,4.4,1.3,1.9,3.4,146,63,28,,55,43.2,56.8,"Derio, Larrabetzu, Lezama, Loiu, Sondika, Zamudio"
382,Mungia,bizkaia,1110,714,3488,3365,32,21,39,24,15,29,14,15,2317,4.7,2.8,3.7,1.7,86,53,,14,19,61.6,38.4,"Bakio, Gatika, Laukiz, Mungia"
391_392,Leioa-Getxo,bizkaia,4139,2662,16546,14679,25,18,38,16,22,34,9,25,10575,10,2.4,5.2,4.1,530,392,105,11,45,74,30.4,
393,Uribe-Kosta,bizkaia,1132,814,3323,3312,34,25,38,21,17,27,15,12,2330,3,2.2,2.8,1.4,66,54,,12,,81.8,18.2,Erandio
394,Erandio,bizkaia,1506,857,3227,2337,47,37,45,56,-11,45,13,32,1612,7.5,5,6.8,1.5,110,88,22,,,80,20,Barakaldo
411,Barakaldo,bizkaia,4368,2216,8812,8023,50,28,50,49,1,39,12,27,5097,10.2,7.6,9.2,1.3,467,312,155,,,66.8,33.2,Barakaldo
412,Cruces,bizkaia,2133,1244,4471,4636,48,27,72,38,34,48,18,29,3174,7.2,4.3,5.1,1.7,163,63,27,,73,38.7,61.3,Sestao
421,Sestao,bizkaia,1844,1056,2998,2860,62,37,63,59,4,42,28,14,2042,8.2,6,7.3,1.4,150,104,46,,,69.3,30.7,Portugalete
422,Portugalete,bizkaia,2937,1400,7273,5578,40,25,53,30,23,37,14,23,4577,6.4,2.4,4.2,2.6,190,127,63,,,66.8,33.2,Santurtzi
423,Santurtzi,bizkaia,2850,1242,6149,4995,46,25,53,41,12,39,14,25,3567,5.5,4.1,4.7,1.3,168,85,58,16,9,50.6,49.4,"Leioa, Getxo, Berango, Getxo, Leioa"
B1,Deusto,bizkaia,2393,1224,7569,5069,32,24,35,27,8,36,13,23,3719,5.6,4.4,5,1.3,185,98,87,,,53,47,Bilbao
B2,Uribarri,bizkaia,2585,1695,6291,5756,41,29,59,35,24,45,23,22,4156,13.2,4.1,6.6,3.2,275,151,118,,6,54.9,45.1,Bilbao
B3,Txurdinaga-Otxarkoaga,bizkaia,2418,1399,6062,4879,40,29,64,27,37,61,23,48,3629,8.4,2.3,4.3,3.6,156,100,,5,51,64.1,35.9,Bilbao
B4,Begoña,bizkaia,2045,1203,3717,3768,55,32,65,53,12,46,27,20,2517,5.6,4.4,4.9,1.3,123,60,63,,,48.8,51.2,Bilbao
B5,Ibaiondo,bizkaia,3881,2327,7990,6230,49,37,53,42,11,46,25,21,4530,8.2,11.6,9.9,0.7,450,186,255,9,,41.3,58.7,Bilbao
B6,Abando,bizkaia,2975,1356,11809,8343,25,16,39,21,18,38,9,29,6054,19.7,3.3,7.4,5.9,446,295,151,,,66.1,33.9,Bilbao
B7,Rekalde,bizkaia,1772,1204,2666,2381,66,51,65,70,-5,59,35,24,1744,17,20.4,18.3,0.8,319,184,135,,,57.7,42.3,Bilbao
B8,Basurto-Zorroza,bizkaia,812,640,1129,1183,72,54,72,0,72,55,0,0,829,10.1,,10.1,,84,84,,,,100,0,Bilbao
